"round_number","team_name","rank","win_percentage"
1,"South East Melbourne Phoenix",1,1
1,"Melbourne United",2,1
1,"Brisbane Bullets",3,1
1,"Tasmania JackJumpers",4,0.5
1,"New Zealand Breakers",5,0
1,"Perth Wildcats",6,0
1,"Cairns Taipans",7,0
1,"Illawarra Hawks",8,0
1,"Sydney Kings",9,0
1,"Adelaide 36ers",10,0
2,"Melbourne United",1,1
2,"Adelaide 36ers",2,1
2,"Tasmania JackJumpers",3,0.666666666666667
2,"Cairns Taipans",4,0.666666666666667
2,"South East Melbourne Phoenix",5,0.5
2,"Perth Wildcats",6,0.5
2,"Brisbane Bullets",7,0.333333333333333
2,"New Zealand Breakers",8,0
2,"Illawarra Hawks",9,0
2,"Sydney Kings",10,0
3,"Melbourne United",1,1
3,"Adelaide 36ers",2,1
3,"Tasmania JackJumpers",3,0.75
3,"Perth Wildcats",4,0.666666666666667
3,"South East Melbourne Phoenix",5,0.5
3,"Cairns Taipans",6,0.5
3,"Sydney Kings",7,0.5
3,"Brisbane Bullets",8,0.25
3,"New Zealand Breakers",9,0
3,"Illawarra Hawks",10,0
4,"Melbourne United",1,1
4,"Perth Wildcats",2,0.75
4,"Adelaide 36ers",3,0.75
4,"South East Melbourne Phoenix",4,0.666666666666667
4,"Tasmania JackJumpers",5,0.6
4,"Sydney Kings",6,0.5
4,"Cairns Taipans",7,0.333333333333333
4,"Illawarra Hawks",8,0.25
4,"Brisbane Bullets",9,0.2
4,"New Zealand Breakers",10,0.166666666666667
5,"Melbourne United",1,1
5,"Adelaide 36ers",2,0.833333333333333
5,"South East Melbourne Phoenix",3,0.6
5,"Tasmania JackJumpers",4,0.571428571428571
5,"Perth Wildcats",5,0.5
5,"Sydney Kings",6,0.5
5,"Cairns Taipans",7,0.285714285714286
5,"Brisbane Bullets",8,0.285714285714286
5,"New Zealand Breakers",9,0.25
5,"Illawarra Hawks",10,0.2
6,"Melbourne United",1,1
6,"South East Melbourne Phoenix",2,0.714285714285714
6,"Adelaide 36ers",3,0.714285714285714
6,"Tasmania JackJumpers",4,0.625
6,"Perth Wildcats",5,0.5
6,"Sydney Kings",6,0.375
6,"Illawarra Hawks",7,0.333333333333333
6,"Brisbane Bullets",8,0.333333333333333
6,"New Zealand Breakers",9,0.222222222222222
6,"Cairns Taipans",10,0.222222222222222
7,"Melbourne United",1,0.9
7,"South East Melbourne Phoenix",2,0.75
7,"Adelaide 36ers",3,0.75
7,"Tasmania JackJumpers",4,0.5
7,"Perth Wildcats",5,0.5
7,"Sydney Kings",6,0.5
7,"Brisbane Bullets",7,0.363636363636364
7,"New Zealand Breakers",8,0.3
7,"Cairns Taipans",9,0.272727272727273
7,"Illawarra Hawks",10,0.25
8,"Melbourne United",1,0.833333333333333
8,"South East Melbourne Phoenix",2,0.7
8,"Adelaide 36ers",3,0.7
8,"Perth Wildcats",4,0.545454545454545
8,"Sydney Kings",5,0.545454545454545
8,"Tasmania JackJumpers",6,0.416666666666667
8,"Brisbane Bullets",7,0.416666666666667
8,"Illawarra Hawks",8,0.4
8,"New Zealand Breakers",9,0.25
8,"Cairns Taipans",10,0.25
9,"Melbourne United",1,0.846153846153846
9,"Adelaide 36ers",2,0.75
9,"South East Melbourne Phoenix",3,0.727272727272727
9,"Perth Wildcats",4,0.583333333333333
9,"Sydney Kings",5,0.583333333333333
9,"Tasmania JackJumpers",6,0.384615384615385
9,"Illawarra Hawks",7,0.363636363636364
9,"Brisbane Bullets",8,0.357142857142857
9,"New Zealand Breakers",9,0.285714285714286
9,"Cairns Taipans",10,0.214285714285714
10,"Melbourne United",1,0.866666666666667
10,"Adelaide 36ers",2,0.785714285714286
10,"South East Melbourne Phoenix",3,0.692307692307692
10,"Perth Wildcats",4,0.571428571428571
10,"Sydney Kings",5,0.538461538461538
10,"Tasmania JackJumpers",6,0.4
10,"New Zealand Breakers",7,0.333333333333333
10,"Brisbane Bullets",8,0.333333333333333
10,"Illawarra Hawks",9,0.307692307692308
10,"Cairns Taipans",10,0.2
11,"Adelaide 36ers",1,0.8125
11,"Melbourne United",2,0.764705882352941
11,"South East Melbourne Phoenix",3,0.666666666666667
11,"Perth Wildcats",4,0.5625
11,"Sydney Kings",5,0.5
11,"New Zealand Breakers",6,0.411764705882353
11,"Tasmania JackJumpers",7,0.375
11,"Illawarra Hawks",8,0.333333333333333
11,"Brisbane Bullets",9,0.3125
11,"Cairns Taipans",10,0.25
12,"Adelaide 36ers",1,0.823529411764706
12,"Melbourne United",2,0.684210526315789
12,"South East Melbourne Phoenix",3,0.647058823529412
12,"Sydney Kings",4,0.5625
12,"Perth Wildcats",5,0.555555555555556
12,"Tasmania JackJumpers",6,0.444444444444444
12,"New Zealand Breakers",7,0.388888888888889
12,"Illawarra Hawks",8,0.375
12,"Brisbane Bullets",9,0.277777777777778
12,"Cairns Taipans",10,0.235294117647059
13,"Adelaide 36ers",1,0.789473684210526
13,"South East Melbourne Phoenix",2,0.684210526315789
13,"Melbourne United",3,0.666666666666667
13,"Sydney Kings",4,0.611111111111111
13,"Perth Wildcats",5,0.55
13,"Tasmania JackJumpers",6,0.45
13,"New Zealand Breakers",7,0.35
13,"Illawarra Hawks",8,0.333333333333333
13,"Brisbane Bullets",9,0.3
13,"Cairns Taipans",10,0.263157894736842
14,"Adelaide 36ers",1,0.80952380952381
14,"Melbourne United",2,0.681818181818182
14,"South East Melbourne Phoenix",3,0.65
14,"Sydney Kings",4,0.65
14,"Perth Wildcats",5,0.523809523809524
14,"Tasmania JackJumpers",6,0.454545454545455
14,"New Zealand Breakers",7,0.380952380952381
14,"Illawarra Hawks",8,0.315789473684211
14,"Brisbane Bullets",9,0.272727272727273
14,"Cairns Taipans",10,0.25
15,"Adelaide 36ers",1,0.826086956521739
15,"South East Melbourne Phoenix",2,0.681818181818182
15,"Melbourne United",3,0.652173913043478
15,"Sydney Kings",4,0.590909090909091
15,"Perth Wildcats",5,0.565217391304348
15,"Tasmania JackJumpers",6,0.458333333333333
15,"Illawarra Hawks",7,0.380952380952381
15,"New Zealand Breakers",8,0.363636363636364
15,"Brisbane Bullets",9,0.25
15,"Cairns Taipans",10,0.227272727272727
16,"Adelaide 36ers",1,0.791666666666667
16,"South East Melbourne Phoenix",2,0.666666666666667
16,"Sydney Kings",3,0.625
16,"Melbourne United",4,0.6
16,"Perth Wildcats",5,0.583333333333333
16,"Tasmania JackJumpers",6,0.48
16,"New Zealand Breakers",7,0.375
16,"Illawarra Hawks",8,0.347826086956522
16,"Cairns Taipans",9,0.291666666666667
16,"Brisbane Bullets",10,0.24
17,"Adelaide 36ers",1,0.76
17,"South East Melbourne Phoenix",2,0.68
17,"Sydney Kings",3,0.64
17,"Melbourne United",4,0.615384615384615
17,"Perth Wildcats",5,0.6
17,"Tasmania JackJumpers",6,0.461538461538462
17,"New Zealand Breakers",7,0.4
17,"Illawarra Hawks",8,0.333333333333333
17,"Cairns Taipans",9,0.28
17,"Brisbane Bullets",10,0.230769230769231
18,"Adelaide 36ers",1,0.740740740740741
18,"South East Melbourne Phoenix",2,0.703703703703704
18,"Sydney Kings",3,0.666666666666667
18,"Melbourne United",4,0.642857142857143
18,"Perth Wildcats",5,0.592592592592593
18,"Tasmania JackJumpers",6,0.428571428571429
18,"Illawarra Hawks",7,0.384615384615385
18,"New Zealand Breakers",8,0.37037037037037
18,"Cairns Taipans",9,0.259259259259259
18,"Brisbane Bullets",10,0.214285714285714
19,"Adelaide 36ers",1,0.724137931034483
19,"South East Melbourne Phoenix",2,0.689655172413793
19,"Sydney Kings",3,0.689655172413793
19,"Perth Wildcats",4,0.620689655172414
19,"Melbourne United",5,0.620689655172414
19,"Tasmania JackJumpers",6,0.433333333333333
19,"New Zealand Breakers",7,0.379310344827586
19,"Illawarra Hawks",8,0.357142857142857
19,"Cairns Taipans",9,0.275862068965517
19,"Brisbane Bullets",10,0.206896551724138
20,"Adelaide 36ers",1,0.709677419354839
20,"Sydney Kings",2,0.7
20,"South East Melbourne Phoenix",3,0.67741935483871
20,"Perth Wildcats",4,0.633333333333333
20,"Melbourne United",5,0.6
20,"Tasmania JackJumpers",6,0.451612903225806
20,"New Zealand Breakers",7,0.387096774193548
20,"Illawarra Hawks",8,0.366666666666667
20,"Cairns Taipans",9,0.290322580645161
20,"Brisbane Bullets",10,0.193548387096774
21,"Sydney Kings",1,0.71875
21,"Adelaide 36ers",2,0.71875
21,"South East Melbourne Phoenix",3,0.6875
21,"Perth Wildcats",4,0.625
21,"Melbourne United",5,0.59375
21,"Tasmania JackJumpers",6,0.4375
21,"New Zealand Breakers",7,0.375
21,"Illawarra Hawks",8,0.375
21,"Cairns Taipans",9,0.28125
21,"Brisbane Bullets",10,0.1875
22,"Sydney Kings",1,0.727272727272727
22,"Adelaide 36ers",2,0.696969696969697
22,"South East Melbourne Phoenix",3,0.666666666666667
22,"Perth Wildcats",4,0.636363636363636
22,"Melbourne United",5,0.606060606060606
22,"Tasmania JackJumpers",6,0.424242424242424
22,"New Zealand Breakers",7,0.393939393939394
22,"Illawarra Hawks",8,0.393939393939394
22,"Cairns Taipans",9,0.272727272727273
22,"Brisbane Bullets",10,0.181818181818182
