"Team","Shot_Type","Sub_Type","X","Y","Shot_Outcome"
"Tasmania JackJumpers","2pt","Dunk",91.86,47.79,"Make"
"Tasmania JackJumpers","2pt","Floating Jump Shot",85.27,49.52,"Miss"
"Melbourne United","2pt","Layup",11.33,42.42,"Miss"
"Melbourne United","3pt","Step Back Jump Shot",23.89,13.63,"Miss"
"Tasmania JackJumpers","2pt","Driving Layup",91.56,57.39,"Make"
"Melbourne United","2pt","Layup",9.06,40.31,"Miss"
"Tasmania JackJumpers","2pt","Fade Away",80.43,32.05,"Miss"
"Tasmania JackJumpers","3pt","Pull Up Jump Shot",68.49,47.22,"Miss"
"Tasmania JackJumpers","2pt","Layup",94.03,42.61,"Make"
"Melbourne United","2pt","Alley Oop Dunk",3.5,42.61,"Make"
"Melbourne United","3pt","Jump Shot",8.55,96.93,"Miss"
"Melbourne United","3pt","Jump Shot",22.35,10.36,"Miss"
"Melbourne United","2pt","Layup",8.75,55.66,"Miss"
"Melbourne United","2pt","Layup",11.64,45.87,"Make"
"Tasmania JackJumpers","3pt","Jump Shot",72.5,12.28,"Miss"
"Tasmania JackJumpers","2pt","Turn Around Jump Shot",81.26,50.86,"Miss"
"Melbourne United","3pt","Jump Shot",22.76,12.48,"Miss"
"Tasmania JackJumpers","2pt","Driving Layup",91.25,54.7,"Make"
"Melbourne United","3pt","Jump Shot",22.35,87.14,"Miss"
"Melbourne United","3pt","Jump Shot",4.94,97.31,"Make"
"Melbourne United","2pt","Pull Up Jump Shot",20.08,66.22,"Make"
"Tasmania JackJumpers","3pt","Jump Shot",95.26,3.45,"Make"
"Melbourne United","3pt","Jump Shot",25.23,82.53,"Miss"
"Tasmania JackJumpers","2pt","Layup",89.08,47.02,"Miss"
"Melbourne United","2pt","Floating Jump Shot",15.86,56.62,"Miss"
"Melbourne United","2pt","Driving Layup",14.73,36.66,"Miss"
"Tasmania JackJumpers","3pt","Jump Shot",74.56,84.07,"Make"
"Tasmania JackJumpers","3pt","Jump Shot",81.15,91.55,"Miss"
"Tasmania JackJumpers","3pt","Jump Shot",67.25,43.95,"Miss"
"Tasmania JackJumpers","2pt","Layup",95.98,57.77,"Miss"
"Melbourne United","2pt","Driving Layup",11.12,36.47,"Miss"
"Tasmania JackJumpers","2pt","Floating Jump Shot",80.43,55.09,"Make"
"Melbourne United","2pt","Driving Layup",7.11,45.11,"Make"
"Tasmania JackJumpers","2pt","Layup",91.56,46.83,"Miss"
"Melbourne United","3pt","Jump Shot",19.05,6.91,"Make"
"Tasmania JackJumpers","2pt","Jump Shot",76.31,46.07,"Miss"
"Melbourne United","2pt","Layup",9.68,44.91,"Make"
"Tasmania JackJumpers","2pt","Driving Layup",91.97,61.04,"Miss"
"Melbourne United","3pt","Step Back Jump Shot",30.38,67.95,"Make"
"Melbourne United","3pt","Jump Shot",23.17,12.09,"Miss"
"Tasmania JackJumpers","2pt","Floating Jump Shot",80.84,36.85,"Make"
"Melbourne United","3pt","Jump Shot",31.82,40.88,"Miss"
"Tasmania JackJumpers","2pt","Floating Jump Shot",86.41,47.79,"Make"
"Melbourne United","2pt","Layup",7.11,49.52,"Miss"
"Melbourne United","2pt","Driving Layup",6.9,43.95,"Miss"
"Tasmania JackJumpers","3pt","Jump Shot",79.81,8.83,"Make"
"Melbourne United","2pt","Dunk",9.47,46.26,"Miss"
"Tasmania JackJumpers","3pt","Jump Shot",76.31,12.28,"Miss"
"Melbourne United","2pt","Layup",9.27,45.87,"Miss"
"Melbourne United","2pt","Layup",7.11,43.38,"Make"
"Melbourne United","2pt","Layup",4.12,52.59,"Make"
"Tasmania JackJumpers","2pt","Floating Jump Shot",79.51,35.89,"Miss"
"Tasmania JackJumpers","2pt","Tip In",95,50,"Miss"
"Melbourne United","3pt","Step Back Jump Shot",32.44,47.6,"Miss"
"Melbourne United","2pt","Driving Layup",7.52,46.64,"Miss"
"Melbourne United","2pt","Tip In",5,50,"Make"
"Tasmania JackJumpers","2pt","Driving Layup",92.38,54.13,"Make"
"Melbourne United","2pt","Jump Shot",10.09,80.04,"Miss"
"Tasmania JackJumpers","3pt","Jump Shot",74.77,14.78,"Miss"
"Tasmania JackJumpers","3pt","Jump Shot",73.43,17.85,"Make"
"Tasmania JackJumpers","2pt","Driving Layup",89.19,55.28,"Miss"
"Tasmania JackJumpers","2pt","Tip In",95,50,"Miss"
"Melbourne United","3pt","Pull Up Jump Shot",24.82,15.16,"Miss"
"Melbourne United","3pt","Jump Shot",26.88,78.5,"Make"
"Tasmania JackJumpers","2pt","Turn Around Jump Shot",81.15,35.7,"Make"
"Melbourne United","3pt","Jump Shot",26.88,22.26,"Miss"
"Melbourne United","3pt","Jump Shot",29.97,29.94,"Miss"
"Tasmania JackJumpers","2pt","Layup",92.38,39.16,"Miss"
"Tasmania JackJumpers","2pt","Driving Layup",90.32,50.29,"Make"
"Melbourne United","2pt","Dunk",8.24,52.21,"Make"
"Tasmania JackJumpers","2pt","Floating Jump Shot",85.68,49.52,"Make"
"Tasmania JackJumpers","2pt","Driving Layup",89.08,54.32,"Miss"
"Tasmania JackJumpers","3pt","Jump Shot",77.55,12.67,"Miss"
"Melbourne United","2pt","Turn Around Jump Shot",6.49,62.76,"Miss"
"Tasmania JackJumpers","3pt","Jump Shot",80.33,9.4,"Miss"
"Melbourne United","2pt","Driving Layup",6.39,40.88,"Miss"
"Melbourne United","2pt","Tip In",5,50,"Make"
"Tasmania JackJumpers","2pt","Jump Shot",88.67,74.47,"Make"
"Tasmania JackJumpers","2pt","Floating Jump Shot",88.16,66.99,"Make"
"Melbourne United","2pt","Step Back Jump Shot",17.61,19.58,"Make"
"Tasmania JackJumpers","3pt","Jump Shot",84.76,49.9,"Miss"
"Melbourne United","3pt","Jump Shot",73.02,81.38,"Miss"
"Tasmania JackJumpers","2pt","Layup",14.42,53.36,"Miss"
"Melbourne United","3pt","Pull Up Jump Shot",71.47,6.33,"Make"
"Tasmania JackJumpers","2pt","Floating Jump Shot",12.36,48.18,"Make"
"Melbourne United","2pt","Layup",91.45,42.99,"Make"
"Tasmania JackJumpers","2pt","Layup",8.65,54.32,"Make"
"Melbourne United","2pt","Floating Jump Shot",84.86,46.45,"Make"
"Melbourne United","2pt","Layup",91.86,51.06,"Miss"
"Tasmania JackJumpers","2pt","Jump Shot",5.36,20.15,"Miss"
"Melbourne United","2pt","Driving Layup",92.79,40.12,"Miss"
"Melbourne United","2pt","Tip In",95,50,"Miss"
"Tasmania JackJumpers","3pt","Pull Up Jump Shot",26.57,21.88,"Make"
"Melbourne United","2pt","Jump Shot",94.54,89.25,"Miss"
"Tasmania JackJumpers","3pt","Jump Shot",32.23,46.64,"Make"
"Melbourne United","3pt","Jump Shot",69.21,62.76,"Miss"
"Melbourne United","3pt","Jump Shot",94.64,4.22,"Miss"
"Melbourne United","3pt","Jump Shot",74.56,17.66,"Make"
"Tasmania JackJumpers","3pt","Jump Shot",25.13,84.26,"Miss"
"Melbourne United","2pt","Driving Layup",91.56,33.59,"Miss"
"Tasmania JackJumpers","3pt","Jump Shot",19.57,8.45,"Miss"
"Melbourne United","2pt","Turn Around Jump Shot",80.54,39.35,"Make"
"Tasmania JackJumpers","3pt","Jump Shot",23.27,14.2,"Miss"
"Tasmania JackJumpers","2pt","Driving Layup",7.52,53.55,"Miss"
"Melbourne United","3pt","Jump Shot",70.55,29.37,"Make"
"Tasmania JackJumpers","2pt","Layup",9.37,45.11,"Make"
"Melbourne United","2pt","Layup",92.38,41.46,"Miss"
"Melbourne United","3pt","Jump Shot",80.02,11.52,"Miss"
"Melbourne United","2pt","Layup",90.73,45.49,"Miss"
"Tasmania JackJumpers","2pt","Turn Around Jump Shot",7.72,38.39,"Miss"
